

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.062  000.062: --- NVIM STARTING ---
000.165  000.103: event init
000.307  000.141: early init
000.367  000.060: locale set
000.419  000.052: init first window
000.817  000.398: inits 1
000.834  000.017: window checked
000.888  000.055: parsing arguments
002.108  000.080  000.080: require('vim.shared')
002.316  000.081  000.081: require('vim._meta')
002.319  000.208  000.127: require('vim._editor')
002.321  000.337  000.049: require('vim._init_packages')
002.323  001.098: init lua interpreter
002.463  000.139: expanding arguments
002.532  000.069: inits 2
002.944  000.412: init highlight
002.945  000.001: waiting for UI
003.261  000.316: done waiting for UI
003.293  000.032: clear screen
003.516  000.223: init default mappings & autocommands
003.866  000.040  000.040: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/ftplugin.vim
003.967  000.078  000.078: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/indent.vim
004.743  000.534  000.534: require('lazy')
004.772  000.015  000.015: require('ffi')
004.812  000.038  000.038: require('vim.loader')
004.905  000.069  000.069: require('vim.fs')
005.103  000.277  000.208: require('lazy.stats')
005.292  000.164  000.164: require('lazy.core.util')
005.497  000.204  000.204: require('lazy.core.config')
005.603  000.046  000.046: require('lazy.core.handler')
005.660  000.057  000.057: require('lazy.core.plugin')
005.665  000.166  000.064: require('lazy.core.loader')
006.100  000.045  000.045: require('plugins.autopairs')
006.163  000.052  000.052: require('plugins.bufferline')
006.211  000.041  000.041: require('plugins.cmp')
006.267  000.044  000.044: require('plugins.colorscheme')
006.338  000.044  000.044: require('plugins.comment')
006.372  000.027  000.027: require('plugins.commentstring')
006.427  000.050  000.050: require('plugins.flash')
006.482  000.048  000.048: require('plugins.gitsigns')
006.573  000.081  000.081: require('plugins.illuminate')
006.759  000.096  000.096: require('plugins.indent_blankline')
006.956  000.188  000.188: require('plugins.lsp')
007.132  000.148  000.148: require('plugins.lsp-zero')
007.271  000.085  000.085: require('plugins.lualine')
007.332  000.052  000.052: require('plugins.mason')
007.450  000.110  000.110: require('plugins.neogit')
007.578  000.117  000.117: require('plugins.noice')
007.664  000.049  000.049: require('plugins.nvim-tree')
007.694  000.022  000.022: require('plugins.pep8')
007.750  000.051  000.051: require('plugins.telescope')
007.797  000.036  000.036: require('plugins.tmux')
007.831  000.030  000.030: require('plugins.toggleterm')
007.871  000.034  000.034: require('plugins.treesitter')
007.937  000.052  000.052: require('plugins.treesj')
008.211  000.055  000.055: require('plugins.ufo')
008.389  000.050  000.050: require('plugins.whichkey')
008.621  000.046  000.046: require('lazy.core.handler.keys')
008.652  000.029  000.029: require('lazy.core.handler.event')
008.674  000.020  000.020: require('lazy.core.handler.cmd')
008.691  000.016  000.016: require('lazy.core.handler.ft')
008.793  000.021  000.021: require('vim.inspect')
009.030  000.133  000.133: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/filetype.lua
009.830  000.082  000.082: require('darkplus.palette')
009.833  000.220  000.139: require('darkplus.theme')
009.835  000.361  000.141: require('darkplus')
010.687  001.232  000.871: sourcing /home/met/.local/share/nvim/lazy/darkplus.nvim/colors/darkplus.vim
011.364  000.148  000.148: require('bufferline.lazy')
011.415  000.039  000.039: require('bufferline.commands')
011.544  000.125  000.125: require('bufferline.config')
011.548  000.632  000.319: require('bufferline')
011.619  000.070  000.070: require('bufferline.utils')
011.687  000.066  000.066: require('vim.version')
013.292  000.233  000.233: require('bufferline.groups')
013.355  000.047  000.047: require('bufferline.constants')
013.447  000.088  000.088: require('bufferline.colors')
014.039  000.088  000.088: require('bufferline.highlights')
014.242  000.007  000.007: require('vim.F')
014.978  000.008  000.008: require('vim.keymap')
016.026  001.141  001.134: require('bufferline.hover')
016.324  000.176  000.176: require('bufferline.ui')
016.588  000.027  000.027: sourcing /home/met/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
017.052  000.408  000.408: sourcing /home/met/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
018.161  000.042  000.042: require('plenary.bit')
018.215  000.051  000.051: require('plenary.functional')
018.246  000.200  000.107: require('plenary.path')
018.254  000.237  000.037: require('plenary.strings')
018.286  000.031  000.031: require('telescope.deprecated')
018.567  000.168  000.168: require('plenary.log')
018.580  000.226  000.058: require('telescope.log')
018.735  000.049  000.049: require('plenary.job')
018.762  000.025  000.025: require('telescope.state')
018.767  000.186  000.112: require('telescope.utils')
018.771  000.484  000.072: require('telescope.sorters')
020.414  002.697  001.945: require('telescope.config')
020.642  000.108  000.108: require('plenary.window.border')
020.714  000.068  000.068: require('plenary.window')
020.768  000.052  000.052: require('plenary.popup.utils')
020.771  000.353  000.126: require('plenary.popup')
020.823  000.051  000.051: require('telescope.pickers.scroller')
020.896  000.071  000.071: require('telescope.actions.state')
021.048  000.150  000.150: require('telescope.actions.utils')
021.800  000.231  000.231: require('telescope.actions.mt')
021.861  000.811  000.579: require('telescope.actions.set')
022.116  000.168  000.168: require('telescope.config.resolve')
022.122  000.260  000.092: require('telescope.pickers.entry_display')
022.269  000.145  000.145: require('telescope.from_entry')
022.929  005.816  001.278: require('telescope.actions')
024.427  000.748  000.748: require('ufo')
024.610  000.038  000.038: require('ufo.lib.disposable')
024.686  000.073  000.073: require('ufo.lib.log')
024.688  000.186  000.075: require('ufo.lib.event')
024.796  000.107  000.107: require('ufo.utils')
024.980  000.047  000.047: require('promise-async.utils')
025.134  000.153  000.153: require('promise-async.error')
025.259  000.116  000.116: require('promise-async.loop')
025.280  000.419  000.103: require('promise')
025.282  000.483  000.065: require('ufo.provider')
025.751  000.336  000.336: require('ufo.config')
025.921  000.066  000.066: require('promise-async.compat')
025.924  000.170  000.104: require('async')
026.032  000.039  000.039: require('ufo.model.buffer')
026.055  000.022  000.022: require('ufo.model.foldedline')
026.058  000.104  000.043: require('ufo.model.foldbuffer')
026.081  000.021  000.021: require('ufo.bufmanager')
026.133  000.032  000.032: require('ufo.wffi')
026.134  000.052  000.020: require('ufo.fold.driver')
026.135  000.210  000.032: require('ufo.fold.manager')
026.159  000.020  000.020: require('ufo.lib.debounce')
026.190  000.907  000.170: require('ufo.fold')
026.271  000.024  000.024: require('ufo.model.window')
026.329  000.026  000.026: require('ufo.highlight')
026.350  000.021  000.021: require('ufo.render.extmark')
026.551  000.021  000.021: require('vim.treesitter.language')
026.556  000.052  000.031: require('vim.treesitter.query')
026.579  000.022  000.022: require('vim.treesitter._range')
026.583  000.111  000.036: require('vim.treesitter.languagetree')
026.586  000.142  000.031: require('vim.treesitter')
026.595  000.212  000.069: require('vim.treesitter.highlighter')
026.596  000.245  000.033: require('ufo.render.treesitter')
026.615  000.018  000.018: require('ufo.render.match')
026.617  000.345  000.035: require('ufo.render')
026.619  000.428  000.060: require('ufo.decorator')
026.773  000.125  000.125: require('ufo.preview.floatwin')
026.795  000.020  000.020: require('ufo.preview.scrollbar')
026.812  000.017  000.017: require('ufo.preview.winbar')
026.835  000.022  000.022: require('ufo.preview.keymap')
026.839  000.219  000.034: require('ufo.preview')
026.841  002.410  000.080: require('ufo.main')
027.900  000.023  000.023: require('nvim-treesitter.compat')
028.519  000.548  000.548: require('nvim-treesitter.parsers')
028.571  000.050  000.050: require('nvim-treesitter.utils')
028.579  000.633  000.035: require('nvim-treesitter.ts_utils')
028.582  000.658  000.025: require('nvim-treesitter.tsrange')
028.611  000.028  000.028: require('nvim-treesitter.caching')
028.618  000.769  000.061: require('nvim-treesitter.query')
028.620  001.012  000.243: require('rainbow')
028.939  000.108  000.108: require('nvim-treesitter.configs')
028.943  000.220  000.112: require('nvim-treesitter.info')
029.002  000.057  000.057: require('nvim-treesitter.shell_command_selectors')
029.033  000.390  000.113: require('nvim-treesitter.install')
029.083  000.049  000.049: require('nvim-treesitter.statusline')
029.128  000.044  000.044: require('nvim-treesitter.query_predicates')
029.131  000.510  000.027: require('nvim-treesitter')
029.142  001.541  000.018: sourcing /home/met/.local/share/nvim/lazy/nvim-ts-rainbow/plugin/rainbow.vim
029.710  000.063  000.063: require('nvim-ts-autotag._log')
029.752  000.039  000.039: require('nvim-ts-autotag.utils')
029.767  000.202  000.100: require('nvim-ts-autotag.internal')
029.769  000.426  000.223: require('nvim-ts-autotag')
029.773  000.446  000.020: sourcing /home/met/.local/share/nvim/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
030.358  000.510  000.510: sourcing /home/met/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
030.380  003.184  000.687: require('nvim-treesitter')
030.582  000.042  000.042: require('illuminate.util')
030.621  000.036  000.036: require('illuminate.config')
030.655  000.033  000.033: require('illuminate.reference')
030.658  000.165  000.053: require('illuminate.highlight')
030.666  000.256  000.092: require('illuminate.engine')
030.757  000.075  000.075: require('illuminate')
030.918  003.784  000.269: sourcing /home/met/.local/share/nvim/lazy/vim-illuminate/plugin/illuminate.vim
031.534  000.093  000.093: require('ibl.utils')
031.543  000.160  000.067: require('ibl.config')
031.852  000.166  000.166: require('ibl.indent')
031.884  000.340  000.175: require('ibl.hooks')
031.891  000.585  000.085: require('ibl.highlights')
032.221  000.329  000.329: require('ibl.autocmds')
032.482  000.258  000.258: require('ibl.inlay_hints')
032.642  000.157  000.157: require('ibl.virt_text')
033.211  000.415  000.415: require('ibl.scope_languages')
033.214  000.570  000.155: require('ibl.scope')
033.218  002.124  000.225: require('ibl')
033.440  000.042  000.042: require('vim.lsp.log')
033.723  000.281  000.281: require('vim.lsp.protocol')
033.909  000.069  000.069: require('vim.lsp._snippet')
034.165  000.254  000.254: require('vim.highlight')
034.176  000.451  000.127: require('vim.lsp.util')
034.188  000.836  000.062: require('vim.lsp.handlers')
034.243  000.054  000.054: require('vim.lsp.rpc')
034.279  000.034  000.034: require('vim.lsp.sync')
034.314  000.035  000.035: require('vim.lsp.semantic_tokens')
034.353  000.037  000.037: require('vim.lsp.buf')
034.376  000.022  000.022: require('vim.lsp.diagnostic')
034.402  000.024  000.024: require('vim.lsp.codelens')
034.427  001.203  000.160: require('vim.lsp')
035.273  000.036  000.036: sourcing /home/met/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
035.760  000.020  000.020: require('nvim-tree.notify')
035.764  000.047  000.027: require('nvim-tree.events')
035.880  000.021  000.021: require('nvim-tree.log')
035.934  000.018  000.018: require('nvim-tree.iterators.node-iterator')
035.955  000.073  000.055: require('nvim-tree.utils')
035.978  000.023  000.023: require('nvim-tree.git.utils')
036.023  000.044  000.044: require('nvim-tree.git.runner')
036.050  000.026  000.026: require('nvim-tree.watcher')
036.078  000.027  000.027: require('nvim-tree.explorer.node')
036.081  000.289  000.075: require('nvim-tree.git')
036.101  000.019  000.019: require('nvim-tree.explorer.watch')
036.135  000.017  000.017: require('nvim-tree.explorer.node-builders')
036.154  000.018  000.018: require('nvim-tree.explorer.sorters')
036.229  000.037  000.037: require('nvim-tree.marks')
036.231  000.058  000.021: require('nvim-tree.explorer.filters')
